SalesDate,ItemID,QuantityOfItemSold
9/1/2022,1,30
9/1/2022,2,20
9/1/2022,3,40
9/1/2022,4,10
9/1/2022,5,50
9/1/2022,6,5
9/1/2022,7,15
9/1/2022,8,25
9/1/2022,9,35
9/1/2022,10,45
9/1/2022,11,55
9/1/2022,12,45
9/1/2022,13,35
9/1/2022,14,25
9/2/2022,1,35
9/2/2022,2,25
9/2/2022,3,20
9/2/2022,4,1
9/2/2022,5,60
9/2/2022,6,15
9/2/2022,7,5
9/2/2022,8,35
9/2/2022,9,45
9/2/2022,10,55
9/2/2022,11,65
9/2/2022,12,55
9/2/2022,13,45
9/2/2022,14,35
9/3/2022,1,25
9/3/2022,2,15
9/3/2022,3,35
9/3/2022,4,15
9/3/2022,5,45
9/3/2022,6,7
9/3/2022,7,17
9/3/2022,8,23
9/3/2022,9,32
9/3/2022,10,40
9/3/2022,11,50
9/3/2022,12,41
9/3/2022,13,37
9/3/2022,14,27
9/4/2022,1,19
9/4/2022,2,11
9/4/2022,3,26
9/4/2022,4,11
9/4/2022,5,34
9/4/2022,6,5
9/4/2022,7,13
9/4/2022,8,17
9/4/2022,9,24
9/4/2022,10,30
9/4/2022,11,38
9/4/2022,12,31
9/4/2022,13,28
9/4/2022,14,20
9/5/2022,1,22
9/5/2022,2,13
9/5/2022,3,30
9/5/2022,4,13
9/5/2022,5,39
9/5/2022,6,6
9/5/2022,7,15
9/5/2022,8,20
9/5/2022,9,28
9/5/2022,10,35
9/5/2022,11,43
9/5/2022,12,35
9/5/2022,13,32
9/5/2022,14,23
9/6/2022,1,24
9/6/2022,2,14
9/6/2022,3,33
9/6/2022,4,14
9/6/2022,5,43
9/6/2022,6,7
9/6/2022,7,16
9/6/2022,8,22
9/6/2022,9,30
9/6/2022,10,38
9/6/2022,11,47
9/6/2022,12,39
9/6/2022,13,35
9/6/2022,14,26
9/7/2022,1,21
9/7/2022,2,13
9/7/2022,3,30
9/7/2022,4,13
9/7/2022,5,38
9/7/2022,6,6
9/7/2022,7,15
9/7/2022,8,20
9/7/2022,9,27
9/7/2022,10,34
9/7/2022,11,43
9/7/2022,12,35
9/7/2022,13,32
9/7/2022,14,23
9/8/2022,1,18
9/8/2022,2,11
9/8/2022,3,25
9/8/2022,4,11
9/8/2022,5,33
9/8/2022,6,5
9/8/2022,7,12
9/8/2022,8,17
9/8/2022,9,23
9/8/2022,10,29
9/8/2022,11,36
9/8/2022,12,30
9/8/2022,13,27
9/8/2022,14,20
9/9/2022,1,21
9/9/2022,2,13
9/9/2022,3,29
9/9/2022,4,13
9/9/2022,5,38
9/9/2022,6,6
9/9/2022,7,14
9/9/2022,8,19
9/9/2022,9,27
9/9/2022,10,33
9/9/2022,11,42
9/9/2022,12,34
9/9/2022,13,31
9/9/2022,14,23
9/10/2022,1,16
9/10/2022,2,9
9/10/2022,3,22
9/10/2022,4,9
9/10/2022,5,28
9/10/2022,6,4
9/10/2022,7,11
9/10/2022,8,14
9/10/2022,9,20
9/10/2022,10,25
9/10/2022,11,31
9/10/2022,12,26
9/10/2022,13,23
9/10/2022,14,17
9/11/2022,1,19
9/11/2022,2,11
9/11/2022,3,26
9/11/2022,4,11
9/11/2022,5,34
9/11/2022,6,5
9/11/2022,7,13
9/11/2022,8,17
9/11/2022,9,24
9/11/2022,10,30
9/11/2022,11,38
9/11/2022,12,31
9/11/2022,13,28
9/11/2022,14,20
9/12/2022,1,22
9/12/2022,2,13
9/12/2022,3,30
9/12/2022,4,13
9/12/2022,5,39
9/12/2022,6,6
9/12/2022,7,15
9/12/2022,8,20
9/12/2022,9,28
9/12/2022,10,35
9/12/2022,11,43
9/12/2022,12,35
9/12/2022,13,32
9/12/2022,14,23
9/13/2022,1,24
9/13/2022,2,14
9/13/2022,3,33
9/13/2022,4,14
9/13/2022,5,43
9/13/2022,6,7
9/13/2022,7,16
9/13/2022,8,22
9/13/2022,9,30
9/13/2022,10,38
9/13/2022,11,48
9/13/2022,12,39
9/13/2022,13,35
9/13/2022,14,26
9/14/2022,1,21
9/14/2022,2,13
9/14/2022,3,30
9/14/2022,4,13
9/14/2022,5,38
9/14/2022,6,6
9/14/2022,7,15
9/14/2022,8,20
9/14/2022,9,27
9/14/2022,10,34
9/14/2022,11,43
9/14/2022,12,35
9/14/2022,13,32
9/14/2022,14,23
9/15/2022,1,18
9/15/2022,2,11
9/15/2022,3,25
9/15/2022,4,11
9/15/2022,5,33
9/15/2022,6,5
9/15/2022,7,12
9/15/2022,8,17
9/15/2022,9,23
9/15/2022,10,29
9/15/2022,11,36
9/15/2022,12,30
9/15/2022,13,27
9/15/2022,14,20
9/16/2022,1,21
9/16/2022,2,13
9/16/2022,3,29
9/16/2022,4,13
9/16/2022,5,38
9/16/2022,6,6
9/16/2022,7,14
9/16/2022,8,19
9/16/2022,9,27
9/16/2022,10,33
9/16/2022,11,42
9/16/2022,12,34
9/16/2022,13,31
9/16/2022,14,23
9/17/2022,1,28
9/17/2022,2,17
9/17/2022,3,40
9/17/2022,4,17
9/17/2022,5,51
9/17/2022,6,8
9/17/2022,7,19
9/17/2022,8,26
9/17/2022,9,36
9/17/2022,10,45
9/17/2022,11,56
9/17/2022,12,46
9/17/2022,13,42
9/17/2022,14,30
9/18/2022,1,34
9/18/2022,2,20
9/18/2022,3,47
9/18/2022,4,20
9/18/2022,5,61
9/18/2022,6,9
9/18/2022,7,23
9/18/2022,8,31
9/18/2022,9,43
9/18/2022,10,54
9/18/2022,11,68
9/18/2022,12,56
9/18/2022,13,50
9/18/2022,14,37
9/19/2022,1,37
9/19/2022,2,22
9/19/2022,3,52
9/19/2022,4,22
9/19/2022,5,67
9/19/2022,6,10
9/19/2022,7,25
9/19/2022,8,34
9/19/2022,9,48
9/19/2022,10,60
9/19/2022,11,74
9/19/2022,12,61
9/19/2022,13,55
9/19/2022,14,40
9/20/2022,1,32
9/20/2022,2,19
9/20/2022,3,44
9/20/2022,4,19
9/20/2022,5,57
9/20/2022,6,9
9/20/2022,7,22
9/20/2022,8,29
9/20/2022,9,41
9/20/2022,10,51
9/20/2022,11,63
9/20/2022,12,52
9/20/2022,13,47
9/20/2022,14,34
9/21/2022,1,30
9/21/2022,2,18
9/21/2022,3,42
9/21/2022,4,18
9/21/2022,5,54
9/21/2022,6,8
9/21/2022,7,20
9/21/2022,8,28
9/21/2022,9,38
9/21/2022,10,48
9/21/2022,11,60
9/21/2022,12,49
9/21/2022,13,45
9/21/2022,14,32
9/22/2022,1,21
9/22/2022,2,13
9/22/2022,3,29
9/22/2022,4,13
9/22/2022,5,38
9/22/2022,6,6
9/22/2022,7,14
9/22/2022,8,19
9/22/2022,9,27
9/22/2022,10,34
9/22/2022,11,42
9/22/2022,12,35
9/22/2022,13,31
9/22/2022,14,23
9/23/2022,1,24
9/23/2022,2,15
9/23/2022,3,34
9/23/2022,4,15
9/23/2022,5,44
9/23/2022,6,7
9/23/2022,7,16
9/23/2022,8,22
9/23/2022,9,31
9/23/2022,10,39
9/23/2022,11,48
9/23/2022,12,40
9/23/2022,13,36
9/23/2022,14,26
9/24/2022,1,21
9/24/2022,2,12
9/24/2022,3,29
9/24/2022,4,12
9/24/2022,5,37
9/24/2022,6,6
9/24/2022,7,14
9/24/2022,8,19
9/24/2022,9,26
9/24/2022,10,33
9/24/2022,11,41
9/24/2022,12,34
9/24/2022,13,30
9/24/2022,14,22
9/25/2022,1,22
9/25/2022,2,13
9/25/2022,3,30
9/25/2022,4,13
9/25/2022,5,39
9/25/2022,6,6
9/25/2022,7,15
9/25/2022,8,20
9/25/2022,9,28
9/25/2022,10,35
9/25/2022,11,43
9/25/2022,12,35
9/25/2022,13,32
9/25/2022,14,23
9/26/2022,1,17
9/26/2022,2,10
9/26/2022,3,24
9/26/2022,4,10
9/26/2022,5,31
9/26/2022,6,5
9/26/2022,7,12
9/26/2022,8,16
9/26/2022,9,22
9/26/2022,10,28
